feature,mean_absolute_shap
numeric__ICU_occupancy_rate,1.0659541069765546
numeric__fourteen_day_rolling_occupancy,1.0648376147043832
numeric__seven_day_rolling_occupancy,1.0403342957713106
numeric__department_average_occupancy,0.8295121441559347
numeric__reserved_beds,0.4348829234632684
numeric__staff_on_duty,0.4322517590931986
numeric__ventilators_available,0.3993669765021372
numeric__disease_outbreak_flag,0.3925079782174129
numeric__occupancy_lag_7,0.3679181039470492
numeric__nurses_on_duty,0.2931599313846121
categorical__department_Pediatrics,0.27352929064491904
categorical__ward_Pediatric,0.27352929064491904
categorical__season_Spring,0.25732748049254983
numeric__temperature,0.24913875216138467
numeric__total_beds,0.2434302142512051
categorical__season_Summer,0.23559694873012388
categorical__department_Emergency,0.23391931039256514
categorical__ward_ER,0.23391931039256514
numeric__ICU_occupied,0.22076328940235165
categorical__ward_ICU,0.21554130649482783
categorical__department_ICU,0.21554130649482783
numeric__hospital_average_occupancy,0.21176776350240933
numeric__emergency_pressure_index,0.2076274621880537
numeric__seasonal_demand_index,0.2065574345353742
numeric__emergency_beds,0.19088184855231427
numeric__weekend_flag,0.185767686842578
numeric__monthly_average_occupancy,0.18036567493703337
categorical__department_Surgery,0.16844125023095746
categorical__ward_Surgical,0.16844125023095746
numeric__ICU_beds,0.15535158397851423
numeric__admission_discharge_ratio,0.14756726595602515
numeric__admissions_lag_1,0.1307897030999466
numeric__emergency_cases,0.1270745179896134
categorical__season_Winter,0.1234825467355962
numeric__occupancy_lag_1,0.12047868078761663
numeric__daily_admissions,0.11864363925001564
numeric__discharge_lag_1,0.11327103824689835
numeric__average_length_of_stay,0.08323177640852585
numeric__outbreak_pressure_score,0.07816870235735415
categorical__department_Cardiology,0.07371181921688912
categorical__ward_Cardiac,0.07371181921688912
categorical__ward_Medical,0.07315458954302693
categorical__department_Medicine,0.07315458954302693
categorical__hospital_type_Teaching,0.06992181893191261
numeric__infection_rate,0.06894217083181099
categorical__hospital_type_Public,0.058893832111924616
categorical__city_Karachi,0.053670443132321576
categorical__hospital_name_Apex Medical Center,0.053670443132321576
numeric__mortality_rate,0.0536196830364536
numeric__weekend_staffing_gap,0.049490825131653544
categorical__city_Multan,0.03302538924559031
categorical__hospital_name_Riverbend Hospital,0.03302538924559031
numeric__missingindicator_occupancy_lag_7,0.030869912448232527
categorical__hospital_name_North Star Clinic,0.029556472777031693
categorical__city_Islamabad,0.029556472777031693
categorical__hospital_type_Private,0.029556472777031693
numeric__daily_discharge,0.02583946245720904
numeric__holiday_flag,0.024146040416262293
numeric__doctors_on_duty,0.016165852857649966
numeric__patient_turnover_rate,0.014611056968722485
numeric__missingindicator_discharge_lag_1,0.00856024367257979
numeric__missingindicator_seven_day_rolling_occupancy,0.00856024367257979
numeric__missingindicator_admissions_lag_1,0.00856024367257979
numeric__missingindicator_occupancy_lag_1,0.00856024367257979
numeric__missingindicator_fourteen_day_rolling_occupancy,0.00856024367257979
categorical__city_Lahore,0.004103315895405024
categorical__hospital_name_City General Hospital,0.004103315895405024
categorical__hospital_name_Unity Health Institute,0.0035175716091285936
categorical__city_Peshawar,0.0035175716091285936
numeric__missingindicator_department_average_occupancy,0.00036495533857120187
numeric__missingindicator_monthly_average_occupancy,5.5745262282283355e-18
numeric__missingindicator_hospital_average_occupancy,8.159025013826069e-19
numeric__missingindicator_seasonal_demand_index,1.72849739552697e-19
